name,site,city,longitude,latitude
龙阳路站,磁悬浮,上海,121.557634,31.203575
浦东国际机场站,磁悬浮,上海,121.806436,31.149596
莘庄站,地铁1号线,上海,121.385373,31.111152
外环路站,地铁1号线,上海,121.39302,31.120899
莲花路站,地铁1号线,上海,121.40291,31.1309
锦江乐园站,地铁1号线,上海,121.414107,31.142217
上海南站,地铁1号线,上海,121.429462,31.153127
漕宝路站,地铁1号线,上海,121.433143,31.168344
上海体育馆站,地铁1号线,上海,121.437423,31.182813
徐家汇站,地铁1号线,上海,121.436837,31.195338
衡山路站,地铁1号线,上海,121.446424,31.204528
常熟路站,地铁1号线,上海,121.449141,31.213524
陕西南路站,地铁1号线,上海,121.458744,31.21515
黄陂南路站,地铁1号线,上海,121.473306,31.222745
人民广场站,地铁1号线,上海,121.475137,31.232781
新闸路站,地铁1号线,上海,121.468151,31.238373
汉中路站,地铁1号线,上海,121.458699,31.241883
上海火车站,地铁1号线,上海,121.455708,31.249574
中山北路站,地铁1号线,上海,121.459204,31.258891
延长路站,地铁1号线,上海,121.455329,31.271675
上海马戏城站,地铁1号线,上海,121.452023,31.279895
汶水路站,地铁1号线,上海,121.450251,31.292556
彭浦新村站,地铁1号线,上海,121.448642,31.306604
共康路站,地铁1号线,上海,121.447063,31.318936
通河新村站,地铁1号线,上海,121.441546,31.33113
呼兰路站,地铁1号线,上海,121.437711,31.339703
共富新村站,地铁1号线,上海,121.434063,31.355082
宝安公路站,地铁1号线,上海,121.430914,31.369555
友谊西路站,地铁1号线,上海,121.427755,31.381873
富锦路站,地铁1号线,上海,121.424661,31.39226
广兰路站,地铁2号线,上海,121.621072,31.21105
金科路站,地铁2号线,上海,121.601989,31.204213
张江高科站,地铁2号线,上海,121.587687,31.201832
龙阳路站,地铁2号线,上海,121.557634,31.203575
世纪公园站,地铁2号线,上海,121.550909,31.209421
上海科技馆站,地铁2号线,上海,121.544439,31.21882
世纪大道站,地铁2号线,上海,121.527213,31.228682
东昌路站,地铁2号线,上海,121.515556,31.23327
陆家嘴站,地铁2号线,上海,121.502262,31.238195
南京东路站,地铁2号线,上海,121.484628,31.238101
人民广场站,地铁2号线,上海,121.475137,31.232781
南京西路站,地铁2号线,上海,121.459971,31.229853
静安寺站,地铁2号线,上海,121.446221,31.223083
江苏路站,地铁2号线,上海,121.430642,31.220411
中山公园站,地铁2号线,上海,121.415773,31.217948
娄山关路站,地铁2号线,上海,121.404058,31.211158
威宁路站,地铁2号线,上海,121.387285,31.21487
北新泾站,地铁2号线,上海,121.373608,31.217028
淞虹路站,地铁2号线,上海,121.359588,31.218212
虹桥2号航站楼站,地铁2号线,上海,121.3263,31.194211
虹桥火车站,地铁2号线,上海,121.320081,31.193964
徐泾东站,地铁2号线,上海,121.299204,31.188367
广兰路站,地铁2号线延伸段,上海,121.621072,31.21105
唐镇站,地铁2号线延伸段,上海,121.656269,31.214107
创新中路站,地铁2号线延伸段,上海,121.673713,31.213871
华夏东路站,地铁2号线延伸段,上海,121.680972,31.196575
川沙站,地铁2号线延伸段,上海,121.69821,31.186741
凌空路站,地铁2号线延伸段,上海,121.724095,31.192861
远东大道站,地铁2号线延伸段,上海,121.755301,31.199385
海天三路站,地铁2号线延伸段,上海,121.796878,31.168459
浦东国际机场站,地铁2号线延伸段,上海,121.806436,31.149596
江杨北路站,地铁3号线,上海,121.439819,31.407858
铁力路站,地铁3号线,上海,121.461139,31.40812
友谊路站,地铁3号线,上海,121.475924,31.404016
宝杨路站,地铁3号线,上海,121.479574,31.395315
水产路站,地铁3号线,上海,121.488247,31.381302
淞滨路站,地铁3号线,上海,121.492818,31.370928
张华浜站,地铁3号线,上海,121.498671,31.358016
淞发路站,地铁3号线,上海,121.50039,31.345135
长江南路站,地铁3号线,上海,121.491482,31.332062
殷高西路站,地铁3号线,上海,121.484856,31.320005
江湾镇站,地铁3号线,上海,121.485064,31.305566
大柏树站,地铁3号线,上海,121.483216,31.289433
赤峰路站,地铁3号线,上海,121.482429,31.281247
虹口足球场站,地铁3号线,上海,121.479154,31.271392
东宝兴路站,地铁3号线,上海,121.480202,31.259886
宝山路站,地铁3号线,上海,121.476298,31.251523
上海火车站,地铁3号线,上海,121.455708,31.249574
中潭路站,地铁3号线,上海,121.441001,31.254568
镇坪路站,地铁3号线,上海,121.429779,31.246369
曹杨路站,地铁3号线,上海,121.417701,31.239302
金沙江路站,地铁3号线,上海,121.41315,31.232004
中山公园站,地铁3号线,上海,121.415773,31.217948
